id,to,from,label
E5138,1747,3160,1
E2648,737,2843,0
E7373,55,1883,0
E4502,2879,2138,1
E4167,671,432,0
E7497,2710,3000,0
E365,1051,1030,1
E9233,134,1623,0
E6881,1976,1071,1
E2319,1070,2713,0
E3785,246,2103,0
E2447,342,1627,0
E4049,670,2096,0
E2263,1674,2032,1
E1526,2924,1105,0
E6587,1828,2629,0
E6737,3308,2424,1
E1096,498,1001,1
E7637,899,1282,1
E8826,148,64,0
E3656,547,1052,0
E1876,3007,296,0
E8167,2069,2850,0
E3577,2751,258,0
E4488,1765,3027,0
E6425,410,1083,1
E1965,282,1501,0
E7419,2536,956,1
E7663,411,1158,1
E7805,2535,2535,1
E6818,393,758,0
E2412,1872,1923,1
E6030,774,333,1
E1431,114,739,0
E2615,2572,315,0
E3634,897,616,1
E4493,1479,1354,0
E6465,458,1870,0
E3007,2107,2120,1
E8353,2443,1675,0
E5899,1007,539,0
E5460,1517,1485,0
E8837,2359,3040,1
E8973,1734,193,0
E8277,2348,1160,0
E1301,2510,2851,1
E7425,2334,457,0
E6954,590,228,1
E2929,747,878,0
E7379,512,2725,0
E380,779,119,1
E1851,2578,2831,0
E7296,3089,3053,0
E1093,2498,2757,0
E8074,2036,115,1
E623,779,1649,1
E1438,557,1650,0
E8053,1848,1870,0
E7640,482,2306,0
E7370,527,418,1
E4727,2902,2146,1
E4575,598,1542,0
E3673,2658,2117,1
E8971,2196,2196,1
E9161,2943,785,0
E9384,1937,1707,1
E3329,673,1366,1
E4455,3122,1230,1
E5834,1658,1220,0
E8212,3157,2229,1
E4102,2856,2707,0
E6788,2677,1582,0
E8329,2616,56,1
E7698,651,1144,1
E5928,1111,314,1
E7551,2702,2305,0
E2633,2006,2173,1
E953,196,3029,0
E8819,3260,2628,0
E9335,2110,1392,1
E4124,524,428,0
E529,2956,2053,0
E7459,1137,1357,1
E481,222,2435,0
E6271,1919,551,0
E1982,899,2504,1
E3471,237,942,1
E6174,1918,1303,1
E3384,2163,2062,0
E1741,449,1646,1
E6227,2031,1274,0
E130,1024,1877,0
E293,1753,846,1
E6081,2201,1613,1
E326,2152,1698,0
E4857,2907,2748,0
E8687,1960,2395,0
E577,2678,352,1
E1155,374,873,0
E4067,814,2261,1
E8258,895,1950,0
E8024,890,967,0
E8236,1237,379,1
E8537,2261,1866,1
E5760,1063,508,1
E5703,2351,1261,1
E3473,2724,1147,0
E7232,1710,2895,1
E8956,2328,2410,0
E4904,2272,253,0
E5254,2372,858,1
E8111,2483,1944,1
E5160,1120,3075,1
E947,2495,1369,1
E1189,347,2996,0
E2753,2426,3128,0
E4911,2050,2050,1
E2861,3294,454,1
E5591,1477,450,0
E3274,2499,354,0
